MENSAJE,CONTENT,NEWLINE,ALT,ELSE,END,LEFT,LOOP,NOTE,OF,TEXT,TITLE,$end,p,s,ss,tit
,,,,,,,,,,,s3,,1,,,2
,,,,,,,,,,,,a,,,,
,,,s6,,,,s7,s8,,s9,,,,4,5,
,,,,,,,,,,s10,,,,,,
,,,s6,r9,r9,,s7,s8,,s9,,r9,,4,11,
,,,,,,,,,,,,r1,,,,
,,,,,,,,,,s12,,,,,,
,,,,,,,,,,s13,,,,,,
,,,,,,s14,,,,,,,,,,
s15,,,,,,,,,,,,,,,,
,,s16,,,,,,,,,,,,,,
,,,,r8,r8,,,,,,,r8,,,,
,,s17,,,,,,,,,,,,,,
,,s18,,,,,,,,,,,,,,
,,,,,,,,,s19,,,,,,,
,,,,,,,,,,s20,,,,,,
,,,r10,,,,r10,r10,,r10,,,,,,
,,,s6,,,,s7,s8,,s9,,,,4,21,
,,,s6,,s23,,s7,s8,,s9,,,,4,22,
,,,,,,,,,,s24,,,,,,
,s25,,,,,,,,,,,,,,,
,,,,s26,s27,,,,,,,,,,,
,,,,,s28,,,,,,,,,,,
,,s29,,,,,,,,,,,,,,
,s30,,,,,,,,,,,,,,,
,,,,,,,,,,s31,,,,,,
,,s32,,,,,,,,,,,,,,
,,s33,,,,,,,,,,,,,,
,,s34,,,,,,,,,,,,,,
,,,r5,r5,r5,,r5,r5,,r5,,r5,,,,
,,,,,,,,,,s35,,,,,,
,,s36,,,,,,,,,,,,,,
,,,s6,,,,s7,s8,,s9,,,,4,37,
,,,r7,r7,r7,,r7,r7,,r7,,r7,,,,
,,,r4,r4,r4,,r4,r4,,r4,,r4,,,,
,,s38,,,,,,,,,,,,,,
,,,r3,r3,r3,,r3,r3,,r3,,r3,,,,
,,,,,s39,,,,,,,,,,,
,,,r2,r2,r2,,r2,r2,,r2,,r2,,,,
,,s40,,,,,,,,,,,,,,
,,,r6,r6,r6,,r6,r6,,r6,,r6,,,,
